old_path,new_path,leiras
about/001_about_map.jpg,02_about/about_map_budapest.jpg,térkép / lokációs kép
about/002_about_image_01.webp,02_about/about_portrait_red_background.webp,portré piros háttér előtt
about/003_about_image_02.webp,02_about/about_portrait_black_shirt.webp,"portré fekete pólóban, meleg fényben"
about/005_about_image_04.webp,02_about/about_studio_chair_lamp.webp,stúdió/beszélgetés enteriőr
about/006_about_image_05.webp,02_about/about_bw_road_car.webp,fekete-fehér werk / út melletti kép
homepage/001_home_hero.webp,01_homepage/home_hero_field_person.webp,"főoldali hero kép, mezőben ülő alak"
homepage/003_home_work_02.webp,01_homepage/work_thumb_hofi_tarr_bela_bw_dance.webp,munka thumbnail: fekete-fehér tánc / Tarr Béla-Hofi hangulat
homepage/004_home_work_03.webp,01_homepage/work_thumb_concert_spotlight.webp,munka thumbnail: koncert / reflektorfény
homepage/005_home_work_04.webp,01_homepage/work_thumb_interview_blond_man.webp,"munka thumbnail: interjú, szőke férfi"
homepage/006_home_work_05.webp,01_homepage/work_thumb_studio_two_people.webp,munka thumbnail: stúdióbeszélgetés két emberrel
homepage/007_home_work_06.webp,01_homepage/work_thumb_interview_woman_microphone.webp,munka thumbnail: nő mikrofonnal
homepage/008_home_work_07.webp,01_homepage/work_thumb_manifestacio_red_set.webp,munka thumbnail: Manifestáció piros stúdiókép
homepage/009_home_work_08.webp,01_homepage/work_thumb_kifogas_tanacsadas_poster.webp,munka thumbnail: Kifogás tanácsadás poszter
homepage/010_home_work_09.webp,01_homepage/work_thumb_studio_portrait_black_outfit.webp,munka thumbnail: stúdió portré fekete outfitben
homepage/011_home_work_10.webp,01_homepage/work_thumb_camera_monitor_orange.webp,munka thumbnail: kamera monitor / narancs fény
homepage/012_home_work_11.webp,01_homepage/work_thumb_closeup_eye.webp,munka thumbnail: közeli szem
logos/001_logo_partner_01.webp,03_partner_logos/logo_biff.webp,partnerlogó: BIFF
logos/002_logo_partner_02.webp,03_partner_logos/logo_hbo.webp,partnerlogó: HBO
logos/003_logo_partner_03.webp,03_partner_logos/logo_budapest_park.webp,partnerlogó: Budapest Park
logos/004_logo_partner_04.webp,03_partner_logos/logo_a38.webp,partnerlogó: A38
logos/005_logo_partner_05.webp,03_partner_logos/logo_cenzura.webp,partnerlogó: Cenzúra
logos/006_logo_partner_06.webp,03_partner_logos/logo_beton_hofi.webp,partnerlogó: Beton.Hofi
logos/007_logo_partner_07.webp,03_partner_logos/logo_bracket_mark_unknown.webp,partnerlogó / jel: bracket mark
projects/cenzura-xxl/001_cenzura_01.webp,04_projects/cenzura-xxl/cenzura_xxl_concert_spotlight_wide.webp,"Cenzúra XXL koncert, reflektorfényes kép"
projects/cenzura-xxl/002_cenzura_02.webp,04_projects/cenzura-xxl/cenzura_xxl_concert_dark_stage.webp,Cenzúra XXL sötét színpad / közönség
