source,output,originalBytes,outputBytes,width,height,error
"00_preview_contact_sheet.jpg","assets/ih-all/00_preview_contact_sheet.webp","516940","277092","1100","2244",""
"02_about/about_bw_road_car.webp","assets/ih-all/02_about/about_bw_road_car.webp","105622","73452","586","780",""
"02_about/about_map_budapest.jpg","assets/ih-all/02_about/about_map_budapest.webp","245600","173594","1080","1920",""
"02_about/about_portrait_black_shirt.webp","assets/ih-all/02_about/about_portrait_black_shirt.webp","6753538","773280","4198","3973",""
"02_about/about_portrait_red_background.webp","assets/ih-all/02_about/about_portrait_red_background.webp","604422","296576","1942","2589",""
"02_about/about_studio_chair_lamp.webp","assets/ih-all/02_about/about_studio_chair_lamp.webp","94944","63238","1056","1035",""
"03_partner_logos/logo_a38.webp","assets/ih-all/03_partner_logos/logo_a38.webp","7748","6226","1000","1000",""
"03_partner_logos/logo_beton_hofi.webp","assets/ih-all/03_partner_logos/logo_beton_hofi.webp","24380","18322","1000","1000",""
"03_partner_logos/logo_biff.webp","assets/ih-all/03_partner_logos/logo_biff.webp","5972","5254","1000","1000",""
"03_partner_logos/logo_bracket_mark_unknown.webp","assets/ih-all/03_partner_logos/logo_bracket_mark_unknown.webp","2328","2372","1000","1000",""
"03_partner_logos/logo_budapest_park.webp","assets/ih-all/03_partner_logos/logo_budapest_park.webp","29844","21518","1000","1000",""
"03_partner_logos/logo_cenzura.webp","assets/ih-all/03_partner_logos/logo_cenzura.webp","19878","15956","1000","1000",""
"03_partner_logos/logo_hbo.webp","assets/ih-all/03_partner_logos/logo_hbo.webp","6830","5700","1000","1000",""
"04_projects/5 Kötelező Giorgio/IMG_3752.JPG","assets/ih-all/04_projects/5-kotelezo-giorgio/img_3752.webp","935818","179402","3520","1980",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.1.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.1.1.webp","1185755","58736","1080","1920",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.15.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.15.1.webp","4299439","85474","2160","3840",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.25.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.25.1.webp","7560921","439608","2160","3840",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.27.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.27.1.webp","4119715","123172","2160","3840",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.29.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.29.1.webp","3210248","73026","2160","3840",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.32.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.32.1.webp","2295168","142546","2160","3840",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.33.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.33.1.webp","4154884","204574","2160","3840",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.5.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.5.1.webp","1047342","67644","1080","1920",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.5.3.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.5.3.webp","1030711","59660","1080","1920",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.7.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.7.1.webp","963560","31550","1080","1920",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.8.1.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.8.1.webp","1111048","46098","1080","1920",""
"04_projects/cenzura-xxl/Still 2025-10-31 104632_1.8.2.jpg","assets/ih-all/04_projects/cenzura-xxl/still-2025-10-31-104632_1.8.2.webp","1007333","54362","1080","1920",""
"04_projects/hofi-tarr-bela/357_0006.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0006.webp","38347755","703436","6744","4500",""
"04_projects/hofi-tarr-bela/357_0017.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0017.webp","35734529","274032","6744","4500",""
"04_projects/hofi-tarr-bela/357_0025.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0025.webp","38126804","452792","6736","4486",""
"04_projects/hofi-tarr-bela/357_0029.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0029.webp","42808628","675932","6744","4500",""
"04_projects/hofi-tarr-bela/357_0045.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0045.webp","38594225","659418","6744","4500",""
"04_projects/hofi-tarr-bela/357_0050.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0050.webp","45248430","732310","6744","4500",""
"04_projects/hofi-tarr-bela/357_0052.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0052.webp","39631417","921722","6516","4150",""
"04_projects/hofi-tarr-bela/357_0059.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0059.webp","48202477","1024180","6744","4500",""
"04_projects/hofi-tarr-bela/357_0062W.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0062w.webp","37120643","780054","6744","4500",""
"04_projects/hofi-tarr-bela/357_0066.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0066.webp","28931265","929182","5322","3516",""
"04_projects/hofi-tarr-bela/357_0068s.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0068s.webp","40377948","808566","6617","4203",""
"04_projects/hofi-tarr-bela/357_0073.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0073.webp","39441018","774014","4500","6744",""
"04_projects/hofi-tarr-bela/357_0114.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0114.webp","40544934","303534","6744","4500",""
"04_projects/hofi-tarr-bela/357_0142.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0142.webp","32798538","349718","6744","4500",""
"04_projects/hofi-tarr-bela/357_0151.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0151.webp","31100350","211468","6744","4500",""
"04_projects/hofi-tarr-bela/357_0153.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0153.webp","34305843","250048","6744","4500",""
"04_projects/hofi-tarr-bela/357_0161.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0161.webp","34347839","338200","6744","4500",""
"04_projects/hofi-tarr-bela/357_0177w.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0177w.webp","39897606","242300","6744","4500",""
"04_projects/hofi-tarr-bela/357_0180w.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0180w.webp","36347077","678028","6744","4500",""
"04_projects/hofi-tarr-bela/357_0192.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0192.webp","36713024","491554","6682","4406",""
"04_projects/hofi-tarr-bela/357_0198.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0198.webp","33401366","652326","6744","4500",""
"04_projects/hofi-tarr-bela/357_0198w.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0198w.webp","33539421","651878","6744","4500",""
"04_projects/hofi-tarr-bela/357_0202.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0202.webp","39201461","362116","6744","4500",""
"04_projects/hofi-tarr-bela/357_0211.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0211.webp","26160723","520110","6179","3697",""
"04_projects/hofi-tarr-bela/357_0222.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0222.webp","33622066","398854","6602","4284",""
"04_projects/hofi-tarr-bela/357_0249.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_0249.webp","41787433","499930","6639","4442",""
"04_projects/hofi-tarr-bela/357_9285.jpg","assets/ih-all/04_projects/hofi-tarr-bela/357_9285.webp","23758633","358248","3919","5693",""
